Title;Brand;Kategorie;ml;Preis;Preis pro 100 ml
Libre Femme;Yves Saint Laurent;Eau de Parfum;50;75.9;151.8
Aromatics Elixir Femme;Clinique;Eau de Parfum;45;42.9;95.33333333333333
Bare Vanilla;Victoria's Secret;Bodyspray;250;13.9;5.5600000000000005
Goldea Femme;Bulgari;Eau de Parfum;50;49.9;99.8
Seductive Noir Femme;Guess;Eau de Toilette;75;24.9;33.199999999999996
Wonderlust;Michael Kors;Eau de Parfum;30;37.9;126.33333333333331
Daring Woman;Bruno Banani;Eau de Toilette;30;15.9;53.0
Dolce Garden;Dolce & Gabbana;Eau de Parfum;75;49.9;66.53333333333333
See By   Eau de Toilette;ChloÃ©;Eau FraÃ®che;75;29.9;39.86666666666667
Insolence Femme;Guerlain;Eau de Parfum;50;44.9;89.8
Yes I Am;Cacharel;Eau de Parfum;50;49.9;99.8
Cool Water Sea Rose;Davidoff;Eau de Toilette;100;25.9;25.900000000000002
Femme L'eau FraÃ®che;Hugo Boss;Eau de Toilette;30;24.9;83.0
The Scent for Her Intense;Hugo Boss;Eau de Parfum;50;39.9;79.8
Just Rock! Pour Elle;Zadig & Voltaire;Eau de Toilette;30;25.9;86.33333333333333
First Instinct Sheer Femme;Abercrombie & Fitch;Eau de Parfum;30;19.9;66.33333333333333
First Instinct Femme;Abercrombie & Fitch;Eau de Parfum;30;19.9;66.33333333333333
Shimmer Heat Femme;Beyonce;Eau de Parfum;30;12.9;43.0
Killer Queen's Royal Revolution Femme;Katy Perry;Eau de Parfum;30;9.9;33.0
Dolce Floral Drops Femme;Dolce & Gabbana;Eau de Toilette;30;24.9;83.0
for Women III;James Bond;Eau de Parfum;30;19.9;66.33333333333333
Agua de Sol;Escada;Eau de Toilette;50;29.9;59.8
Floral;Jimmy Choo;Eau de Toilette;60;25.9;43.166666666666664
Girls can do anything;Zadig & Voltaire;Eau de Parfum;90;49.9;55.44444444444444
Wave Femme;Hollister;Eau de Parfum;30;11.9;39.666666666666664
Woman's Best;Bruno Banani;Eau de Toilette;50;19.9;39.8
Femme;Missoni;Eau de Toilette;10;6.9;69.0
Tommy Hilfiger;Tommy Girl;Bodyspray;200;19.9;9.95
Hypnotic Poison;Dior;Eau de Toilette;100;94.9;94.9
La vie est belle Miniset  4;LancÃ´me;Eau de Parfum;16;44.9;280.625
Lady Million Empire;Paco Rabanne;Eau de Parfum;50;64.9;129.8
Good Girl;Carolina Herrera;Eau de Parfum;30;49.9;166.33333333333334
Champs Elysees Femme;Guerlain;Eau de Toilette;50;39.9;79.8
Pink Fresh Couture;Moschino;Eau de Toilette;50;24.9;49.8
Intimate Fantasy;Britney Spears;Eau de Parfum;100;18.9;18.9
Violet Noir;Christina Aguilera;Bodyspray;236;7.9;3.347457627118644
Xperience;Christina Aguilera;Bodyspray;236;7.9;3.347457627118644
Life is now FOR HER;Mexx;Eau de Toilette;50;13.9;27.800000000000004
Girls can do anything;Zadig & Voltaire;Eau de Parfum;50;44.9;89.8
This is Her;Zadig & Voltaire;Eau de Parfum;30;44.9;149.66666666666666
She;Emporio Armani;Eau de Parfum;30;42.9;143.0
Arden Elizabeth Sunflower Sunlit Showers Femme;Elizabeth Arden;Eau de Toilette;100;19.9;19.9
Floral;Coach;Eau de Parfum;50;39.9;79.8
Mon;Guerlain;Eau de Toilette;30;34.9;116.33333333333333
Gaultier Classique Cabaret;Jean Paul Gaultier;Eau de Parfum;100;69.9;69.9
Secret;Thierry Mugler;Eau de Toilette;50;34.9;69.8
Dylan Blue pour Femme;Versace;Eau de Parfum;30;44.9;149.66666666666666
Mon Paris;Yves Saint Laurent;Eau de Toilette;50;59.9;119.8
J'adore;Dior;Eau de Parfum;50;79.9;159.8
Indivisible;Katy Perry;Eau de Parfum;100;19.9;19.9
Mon;Guerlain;Eau de Parfum;100;84.9;84.9
L'Extase Rose Absolue;Nina Ricci;Eau de Parfum;80;59.9;74.875
Light Blue Sunset in Salina;Dolce & Gabbana;Eau de Toilette;100;47.9;47.9
1981 Los Angeles;Guess;Eau de Toilette;100;24.9;24.9
Woman;Coach;Eau de Parfum;30;25.9;86.33333333333333
MÃ©moire d'une Odeur;Gucci;Eau de Parfum;60;64.9;108.16666666666667
Sexy Ruby;Michael Kors;Eau de Parfum;30;29.9;99.66666666666666
Woman;Pepe Jeans London;Eau de Parfum;80;27.9;34.875
The Only One  50 ml & Mini;Dolce & Gabbana;Eau de Parfum;60;69.9;116.5
Femme;Cabochard;Eau de Toilette;50;15.9;31.8
Laura Tender;Laura Biagiotti;Eau de Toilette;75;49.9;66.53333333333333
Rumeur 2 Rose;Lanvin;Eau de Parfum;30;16.9;56.33333333333332
AnaÃ¯s AnaÃ¯s L'Original;Cacharel;Eau de Toilette;50;29.9;59.8
Idylle;Guerlain;Eau de Toilette;50;34.9;69.8
Carat;Cartier;Eau de Parfum;50;59.9;119.8
The One Essence;Dolce & Gabbana;Eau de Parfum;65;49.9;76.76923076923077
Bright Crystal;Versace;Eau de Toilette;90;59.9;66.55555555555556
Eau de Gaga;Lady Gaga;Eau de Parfum;75;19.9;26.53333333333333
Insolence Femme;Guerlain;Eau de Toilette;100;54.9;54.89999999999999
PoÃªme;LancÃ´me;Eau de Parfum;30;39.9;132.99999999999997
Bloom;Gucci;Eau de Parfum;30;49.9;166.33333333333334
Ma Vie Pour Femme Florale;Hugo Boss;Eau de Parfum;50;34.9;69.8
Simply  PoudrÃ©e;Jil Sander;Eau de Parfum;40;29.9;74.75
Eau ParfumÃ©e au thÃ© bleu;Bulgari;Eau de Cologne;75;49.9;66.53333333333333
La Petite Robe Noire Ma Robe PÃ©tales;Guerlain;Eau FraÃ®che;75;39.9;53.2
Paradiso Assoluto;Roberto Cavalli;Eau de Parfum;75;34.9;46.53333333333333
Poison Girl;Dior;Eau de Toilette;100;84.9;84.9
Periwinkle and Iris;Vera Wang;Bodymist;240;7.9;3.291666666666667
Marigold and Gardenia;Vera Wang;Bodymist;240;7.9;3.291666666666667
French Lavender and Tuberose;Vera Wang;Bodymist;240;7.9;3.291666666666667
Safari;Ralph Lauren;Eau de Parfum;75;59.9;79.86666666666666
Miss;Dior;Eau de Parfum;50;85.9;171.8
Joy;Dior;Eau de Parfum;30;69.9;233.0
Collection Oriental Night Spray Femme  Natural Spray;Musk;Eau de Parfum;50;19.9;39.8
Florence;Roberto Cavalli;Eau de Parfum;30;24.9;83.0
Shalimar Souffle LumiÃ¨re;Guerlain;Eau de Parfum;50;49.9;99.8
Airlines Classique;Jean Paul Gaultier;Eau FraÃ®che;50;59.9;119.8
First Instinct Blue For Her;Abercrombie & Fitch;Eau de Parfum;50;49.9;99.8
La Petite Robe Noire Intense;Guerlain;Eau de Parfum;30;49.9;166.33333333333334
Especially Elixir;Escada;Eau de Parfum;30;27.9;93.0
Nude;Rihanna;Eau de Parfum;30;19.9;66.33333333333333
The Only One;Dolce & Gabbana;Eau de Parfum;50;64.9;129.8
Warm Cashmere;Clean;Eau de Parfum;30;29.9;99.66666666666666
